t, ir 
56.73000, 241.00000
56.78000, 241.00000
56.83000, 241.00000
56.88000, 241.00000
56.93000, 241.00000
56.98000, 241.00000
57.03000, 241.00000
57.08000, 242.00000
57.13000, 241.00000
57.18000, 241.00000
57.23000, 250.00000
57.28000, 256.00000
57.33000, 239.00000
57.38000, 236.00000
57.43000, 239.00000
57.48000, 240.00000
57.53000, 242.00000
57.58000, 240.00000
57.63000, 239.00000
57.68000, 240.00000
57.73000, 241.00000
57.78000, 241.00000
57.83000, 241.00000
57.88000, 242.00000
57.93000, 241.00000
57.98000, 241.00000
58.03000, 241.00000
58.08000, 242.00000
58.13000, 241.00000
58.18000, 242.00000
58.23000, 242.00000
58.28000, 242.00000
58.33000, 242.00000
58.38000, 242.00000
58.43000, 248.00000
58.48000, 259.00000
58.53000, 241.00000
58.58000, 236.00000
58.63000, 239.00000
58.68000, 240.00000
58.73000, 244.00000
58.78000, 242.00000
58.83000, 240.00000
58.88000, 240.00000
58.93000, 241.00000
58.98000, 242.00000
59.03000, 241.00000
59.08000, 242.00000
59.13000, 242.00000
59.18000, 242.00000
59.23000, 242.00000
59.28000, 242.00000
59.33000, 242.00000
59.38000, 242.00000
59.43000, 242.00000
59.48000, 242.00000
59.53000, 242.00000
59.58000, 242.00000
59.63000, 253.00000
59.68000, 256.00000
59.73000, 239.00000
59.78000, 237.00000
59.83000, 240.00000
59.88000, 239.00000
59.93000, 243.00000
59.98000, 242.00000
60.03000, 239.00000
60.08000, 239.00000
60.13000, 240.00000
60.18000, 240.00000
60.23000, 242.00000
60.28000, 241.00000
60.33000, 240.00000
60.38000, 241.00000
60.43000, 241.00000
60.48000, 242.00000
60.53000, 242.00000
60.58000, 241.00000
60.63000, 241.00000
60.68000, 242.00000
60.73000, 242.00000
60.78000, 242.00000
60.83000, 242.00000
60.88000, 242.00000
60.93000, 243.00000
60.98000, 258.00000
61.03000, 248.00000
61.08000, 235.00000
61.13000, 238.00000
61.18000, 239.00000
61.23000, 241.00000
61.28000, 242.00000
61.33000, 240.00000
61.38000, 240.00000
61.43000, 240.00000
61.48000, 241.00000
61.53000, 242.00000
61.58000, 242.00000
61.63000, 241.00000
61.68000, 241.00000
61.73000, 241.00000
61.78000, 241.00000
61.83000, 241.00000
61.88000, 241.00000
61.93000, 241.00000
61.98000, 241.00000
62.03000, 241.00000
62.08000, 241.00000
62.13000, 242.00000
62.18000, 253.00000
62.23000, 253.00000
62.28000, 237.00000
62.33000, 236.00000
62.38000, 238.00000
62.43000, 242.00000
62.48000, 244.00000
62.53000, 242.00000
62.58000, 239.00000
62.63000, 240.00000
62.68000, 241.00000
62.73000, 242.00000
62.78000, 242.00000
62.83000, 242.00000
62.88000, 242.00000
62.93000, 242.00000
62.98000, 241.00000
63.03000, 242.00000
63.08000, 242.00000
63.13000, 242.00000
63.18000, 242.00000
63.23000, 242.00000
63.28000, 242.00000
63.33000, 247.00000
63.38000, 260.00000
63.43000, 242.00000
63.48000, 237.00000
63.53000, 239.00000
63.58000, 239.00000
63.63000, 242.00000
63.68000, 242.00000
63.73000, 239.00000
63.78000, 239.00000
63.83000, 240.00000
63.88000, 241.00000
63.93000, 241.00000
63.98000, 241.00000
64.03000, 241.00000
64.08000, 241.00000
64.13000, 241.00000
64.18000, 241.00000
64.23000, 241.00000
64.28000, 241.00000
64.33000, 241.00000
64.38000, 242.00000
64.43000, 241.00000
64.48000, 241.00000
64.53000, 241.00000
64.58000, 242.00000
64.63000, 253.00000
64.68000, 252.00000
64.73000, 237.00000
64.78000, 236.00000
64.83000, 239.00000
64.88000, 241.00000
64.93000, 242.00000
64.98000, 241.00000
65.03000, 239.00000
65.08000, 240.00000
65.13000, 241.00000
65.18000, 241.00000
65.23000, 242.00000
65.28000, 241.00000
65.33000, 241.00000
65.38000, 241.00000
65.43000, 241.00000
65.48000, 241.00000
65.53000, 241.00000
65.58000, 241.00000
65.63000, 241.00000
65.68000, 241.00000
65.73000, 241.00000
65.78000, 241.00000
65.83000, 251.00000
65.88000, 253.00000
65.93000, 238.00000
65.98000, 236.00000
66.03000, 238.00000
66.08000, 240.00000
66.13000, 242.00000
66.18000, 241.00000
66.23000, 239.00000
66.28000, 239.00000
66.33000, 240.00000
