t, ir, imu 
7.75000, 354.00000, 25128.00000
7.80000, 345.00000, 25150.00000
7.85000, 334.00000, 25072.00000
7.90000, 338.00000, 25150.00000
7.95000, 335.00000, 25148.00000
8.00000, 323.00000, 25250.00000
8.05000, 326.00000, 25144.00000
8.10000, 328.00000, 25128.00000
8.15000, 322.00000, 25278.00000
8.20000, 319.00000, 25176.00000
8.25000, 317.00000, 25202.00000
8.30000, 315.00000, 25138.00000
8.35000, 313.00000, 25244.00000
8.40000, 308.00000, 25268.00000
8.45000, 299.00000, 25100.00000
8.50000, 304.00000, 25208.00000
8.55000, 303.00000, 25372.00000
8.60000, 299.00000, 25174.00000
8.65000, 297.00000, 25206.00000
8.70000, 284.00000, 25284.00000
8.75000, 290.00000, 25260.00000
8.80000, 289.00000, 25142.00000
8.85000, 284.00000, 25142.00000
8.90000, 284.00000, 25096.00000
8.95000, 282.00000, 25124.00000
9.00000, 280.00000, 25032.00000
9.05000, 275.00000, 25386.00000
9.10000, 269.00000, 25152.00000
9.15000, 273.00000, 25102.00000
9.20000, 268.00000, 25152.00000
9.25000, 268.00000, 25084.00000
9.30000, 267.00000, 25442.00000
9.35000, 258.00000, 25248.00000
9.40000, 258.00000, 25126.00000
9.45000, 259.00000, 25258.00000
9.50000, 258.00000, 25190.00000
9.55000, 252.00000, 25240.00000
9.60000, 251.00000, 25214.00000
9.65000, 253.00000, 25160.00000
9.70000, 252.00000, 25232.00000
9.75000, 248.00000, 25188.00000
9.80000, 245.00000, 25002.00000
9.85000, 241.00000, 25104.00000
9.90000, 245.00000, 25284.00000
9.95000, 244.00000, 25216.00000
10.00000, 242.00000, 25140.00000
10.05000, 240.00000, 25208.00000
10.10000, 239.00000, 25228.00000
10.15000, 225.00000, 25108.00000
10.20000, 236.00000, 25202.00000
10.25000, 235.00000, 25276.00000
10.30000, 229.00000, 25180.00000
10.35000, 234.00000, 25182.00000
10.40000, 221.00000, 25226.00000
10.45000, 231.00000, 25080.00000
10.50000, 227.00000, 25188.00000
10.55000, 231.00000, 25240.00000
10.60000, 228.00000, 25250.00000
10.65000, 227.00000, 25228.00000
10.70000, 228.00000, 25088.00000
10.75000, 223.00000, 25204.00000
10.80000, 223.00000, 25126.00000
10.85000, 221.00000, 25148.00000
10.90000, 224.00000, 25172.00000
10.95000, 223.00000, 25182.00000
11.00000, 222.00000, 25178.00000
11.05000, 221.00000, 25218.00000
11.10000, 215.00000, 25268.00000
11.15000, 216.00000, 25230.00000
11.20000, 220.00000, 25190.00000
11.25000, 214.00000, 25264.00000
11.30000, 205.00000, 25094.00000
11.35000, 216.00000, 25234.00000
11.40000, 216.00000, 25298.00000
11.45000, 208.00000, 25244.00000
11.50000, 207.00000, 25216.00000
11.55000, 214.00000, 25094.00000
11.60000, 215.00000, 25314.00000
11.65000, 212.00000, 25134.00000
11.70000, 214.00000, 25186.00000
11.75000, 215.00000, 25198.00000
11.80000, 207.00000, 25224.00000
11.85000, 211.00000, 25254.00000
11.90000, 211.00000, 25254.00000
11.95000, 203.00000, 25208.00000
12.00000, 208.00000, 25242.00000
12.05000, 211.00000, 25250.00000
12.10000, 201.00000, 25158.00000
12.15000, 213.00000, 25264.00000
12.20000, 209.00000, 25268.00000
12.25000, 209.00000, 25260.00000
12.30000, 208.00000, 25174.00000
12.35000, 207.00000, 25286.00000
12.40000, 206.00000, 25300.00000
12.45000, 204.00000, 25186.00000
12.50000, 209.00000, 25232.00000
12.55000, 206.00000, 25166.00000
12.60000, 204.00000, 25178.00000
12.65000, 205.00000, 25124.00000
12.70000, 203.00000, 25196.00000
12.75000, 210.00000, 25216.00000
12.80000, 208.00000, 25196.00000
12.85000, 197.00000, 25182.00000
12.90000, 182.00000, 25124.00000
12.95000, 208.00000, 25150.00000
13.00000, 200.00000, 25144.00000
13.05000, 201.00000, 25124.00000
13.10000, 179.00000, 25214.00000
13.15000, 207.00000, 25254.00000
13.20000, 203.00000, 25142.00000
13.25000, 205.00000, 25262.00000
13.30000, 179.00000, 25206.00000
13.35000, 198.00000, 25238.00000
13.40000, 200.00000, 25222.00000
13.45000, 195.00000, 25180.00000
13.50000, 177.00000, 25166.00000
13.55000, 201.00000, 25148.00000
