t, ir, imu 
6.27000, 360.00000, 26232.00000
6.32000, 358.00000, 21508.00000
6.37000, 350.00000, 26124.00000
6.42000, 348.00000, 21672.00000
6.47000, 338.00000, 24912.00000
6.52000, 343.00000, 20850.00000
6.57000, 339.00000, 23354.00000
6.62000, 334.00000, 21310.00000
6.67000, 336.00000, 22098.00000
6.72000, 327.00000, 27958.00000
6.77000, 325.00000, 23098.00000
6.82000, 323.00000, 16998.00000
6.87000, 325.00000, 28340.00000
6.92000, 318.00000, 29284.00000
6.97000, 315.00000, 20470.00000
7.02000, 311.00000, 19276.00000
7.07000, 307.00000, -29784.00000
7.12000, 307.00000, 12678.00000
7.17000, 303.00000, 12408.00000
7.22000, 299.00000, 4133.00000
7.27000, 295.00000, 26406.00000
7.32000, 292.00000, 3179.00000
7.37000, 295.00000, 32767.00000
7.42000, 282.00000, -2682.00000
7.47000, 292.00000, 12659.00000
7.52000, 286.00000, 30105.00000
7.57000, 287.00000, 633.00000
7.62000, 282.00000, 4051.00000
7.67000, 283.00000, 32767.00000
7.72000, 278.00000, 10625.00000
7.77000, 280.00000, 3682.00000
7.82000, 273.00000, -22858.00000
7.87000, 272.00000, 12811.00000
7.92000, 270.00000, 17740.00000
7.97000, 271.00000, -18826.00000
8.02000, 267.00000, 4629.00000
8.07000, 264.00000, 12022.00000
8.12000, 266.00000, 16031.00000
8.17000, 254.00000, 32767.00000
8.22000, 260.00000, 25425.00000
8.27000, 260.00000, 16294.00000
8.32000, 255.00000, -6938.00000
8.37000, 256.00000, 5137.00000
8.42000, 257.00000, -17310.00000
8.47000, 253.00000, 12378.00000
8.52000, 251.00000, 6581.00000
8.57000, 250.00000, -11092.00000
8.62000, 249.00000, 2807.00000
8.67000, 246.00000, 11162.00000
8.72000, 247.00000, 25419.00000
8.77000, 244.00000, 22250.00000
8.82000, 245.00000, 1608.00000
8.87000, 242.00000, 6599.00000
8.92000, 243.00000, -3194.00000
8.97000, 241.00000, -1729.00000
9.02000, 237.00000, 12233.00000
9.07000, 238.00000, 1860.00000
9.12000, 234.00000, 1911.00000
9.17000, 232.00000, -20966.00000
9.22000, 233.00000, 12447.00000
9.27000, 222.00000, 14754.00000
9.32000, 232.00000, -3709.00000
9.37000, 232.00000, 14113.00000
9.42000, 228.00000, 12211.00000
9.47000, 229.00000, 4231.00000
9.52000, 228.00000, -9828.00000
9.57000, 223.00000, 22345.00000
9.62000, 229.00000, -18176.00000
9.67000, 228.00000, -4981.00000
9.72000, 222.00000, -4328.00000
9.77000, 224.00000, 25785.00000
9.82000, 224.00000, -16208.00000
9.87000, 226.00000, 14945.00000
9.92000, 223.00000, 11697.00000
9.97000, 223.00000, 23483.00000
10.02000, 223.00000, 4102.00000
10.07000, 225.00000, -14401.00000
10.12000, 218.00000, -5808.00000
10.17000, 218.00000, 10845.00000
10.22000, 219.00000, -12218.00000
10.27000, 223.00000, 5638.00000
10.32000, 222.00000, -28207.00000
10.37000, 218.00000, -23348.00000
10.42000, 219.00000, 32149.00000
10.47000, 209.00000, -5394.00000
10.52000, 215.00000, 3773.00000
10.57000, 217.00000, 4049.00000
10.62000, 218.00000, 25267.00000
10.67000, 216.00000, 23821.00000
10.72000, 217.00000, 918.00000
10.77000, 215.00000, 7625.00000
10.82000, 214.00000, -4392.00000
10.87000, 214.00000, 17391.00000
10.92000, 207.00000, 15677.00000
10.97000, 214.00000, -7044.00000
11.02000, 215.00000, 6491.00000
11.07000, 216.00000, -2916.00000
11.12000, 212.00000, 20465.00000
11.17000, 213.00000, 13525.00000
11.22000, 204.00000, -6224.00000
11.27000, 212.00000, 699.00000
11.32000, 214.00000, -13670.00000
11.37000, 211.00000, 4607.00000
11.42000, 190.00000, -11998.00000
11.47000, 207.00000, 2449.00000
11.52000, 212.00000, -22066.00000
11.57000, 213.00000, 17907.00000
11.62000, 187.00000, 4689.00000
11.67000, 214.00000, -31650.00000
11.72000, 212.00000, -9950.00000
11.77000, 210.00000, -4868.00000
11.82000, 184.00000, 2919.00000
11.87000, 212.00000, -16138.00000
11.92000, 211.00000, 1263.00000
11.97000, 207.00000, -16166.00000
12.02000, 188.00000, 24973.00000
12.07000, 212.00000, 3809.00000
12.12000, 213.00000, -27970.00000
12.17000, 214.00000, 5388.00000
12.22000, 183.00000, -24678.00000
12.27000, 201.00000, 553.00000
12.32000, 212.00000, -25854.00000
12.37000, 208.00000, 5748.00000
12.42000, 183.00000, -7684.00000
12.47000, 211.00000, 17379.00000
12.52000, 209.00000, 8601.00000
12.57000, 209.00000, -2872.00000
12.62000, 183.00000, 4135.00000
12.67000, 213.00000, -5418.00000
12.72000, 208.00000, -17.00000
12.77000, 206.00000, -22802.00000
12.82000, 182.00000, 2306.00000
12.87000, 208.00000, -13048.00000
12.92000, 208.00000, 3629.00000
12.97000, 208.00000, -7318.00000
13.02000, 182.00000, 7533.00000
13.07000, 210.00000, -68.00000
13.13000, 207.00000, 15335.00000
13.18000, 210.00000, 10383.00000
13.23000, 207.00000, 5130.00000
13.28000, 210.00000, -4351.00000
13.33000, 210.00000, -5810.00000
13.38000, 197.00000, 32767.00000
13.43000, 185.00000, 3953.00000
13.48000, 209.00000, 6486.00000
13.53000, 210.00000, -19059.00000
13.58000, 203.00000, 11598.00000
13.63000, 180.00000, 30399.00000
13.68000, 207.00000, 20927.00000
13.73000, 206.00000, 1038.00000
13.78000, 206.00000, -18545.00000
13.83000, 181.00000, -4964.00000
13.88000, 208.00000, 22301.00000
13.93000, 202.00000, 23789.00000
13.98000, 207.00000, 4258.00000
14.03000, 182.00000, -18391.00000
14.08000, 203.00000, -28592.00000
14.13000, 204.00000, 27435.00000
14.18000, 203.00000, -28524.00000
14.23000, 204.00000, -3339.00000
14.28000, 210.00000, -17288.00000
14.33000, 202.00000, 17225.00000
14.38000, 203.00000, 25128.00000
14.43000, 187.00000, -4628.00000
14.48000, 196.00000, -28253.00000
14.53000, 205.00000, -25074.00000
14.58000, 204.00000, 32767.00000
14.63000, 195.00000, 2978.00000
14.68000, 206.00000, -6612.00000
14.73000, 205.00000, 9343.00000
