t, ir 
68.83,241
68.88,241
68.93,242
68.98,241
69.03,241
69.08,241
69.13,241
69.18,241
69.23,241
69.28,241
69.33,241
69.38,241
69.43,242
69.48,254
69.53,251
69.58,237
69.63,238
