t, ir, imu 
314.40000, 177.00000, 22902.00000
314.45000, 197.00000, 23200.00000
314.50000, 196.00000, 21478.00000
314.55000, 194.00000, 20452.00000
314.60000, 179.00000, 19192.00000
314.65000, 197.00000, 17046.00000
314.70000, 195.00000, 13698.00000
314.75000, 178.00000, 14564.00000
314.80000, 190.00000, 18730.00000
314.85000, 195.00000, 23612.00000
314.90000, 176.00000, 25290.00000
314.95000, 195.00000, 26706.00000
315.00000, 194.00000, 28256.00000
315.05000, 194.00000, 30440.00000
315.10000, 192.00000, 29796.00000
315.15000, 193.00000, 26820.00000
315.20000, 194.00000, 23246.00000
315.25000, 195.00000, 20572.00000
315.30000, 195.00000, 19042.00000
315.35000, 193.00000, 16986.00000
315.40000, 193.00000, 17354.00000
315.45000, 195.00000, 11776.00000
315.50000, 186.00000, 15624.00000
315.55000, 194.00000, 20340.00000
315.60000, 189.00000, 20908.00000
315.65000, 174.00000, 23608.00000
315.70000, 197.00000, 26910.00000
315.75000, 196.00000, 29300.00000
315.80000, 195.00000, 29736.00000
315.85000, 198.00000, 30478.00000
315.90000, 195.00000, 26750.00000
315.95000, 193.00000, 22978.00000
316.00000, 196.00000, 22022.00000
316.05000, 199.00000, 21018.00000
316.10000, 197.00000, 19364.00000
316.15000, 197.00000, 16360.00000
316.20000, 198.00000, 13612.00000
316.25000, 199.00000, 15232.00000
316.30000, 197.00000, 18692.00000
316.35000, 177.00000, 21578.00000
316.40000, 195.00000, 25220.00000
316.45000, 196.00000, 26030.00000
316.50000, 197.00000, 31110.00000
316.55000, 195.00000, 30152.00000
316.60000, 186.00000, 27650.00000
316.65000, 196.00000, 24552.00000
316.70000, 199.00000, 23270.00000
316.75000, 198.00000, 24054.00000
316.80000, 197.00000, 21050.00000
316.85000, 198.00000, 20910.00000
316.90000, 195.00000, 16936.00000
316.95000, 191.00000, 15090.00000
317.01000, 190.00000, 16016.00000
317.05000, 200.00000, 19554.00000
317.10000, 197.00000, 20060.00000
317.15000, 197.00000, 22860.00000
317.20000, 197.00000, 24792.00000
317.26000, 197.00000, 25908.00000
317.31000, 197.00000, 25724.00000
317.36000, 200.00000, 27574.00000
317.41000, 198.00000, 30226.00000
317.46000, 201.00000, 29706.00000
317.51000, 200.00000, 23746.00000
317.56000, 191.00000, 21172.00000
317.61000, 191.00000, 18702.00000
317.66000, 201.00000, 19632.00000
317.71000, 200.00000, 18900.00000
317.76000, 200.00000, 19006.00000
317.81000, 202.00000, 16200.00000
317.86000, 196.00000, 15110.00000
317.91000, 199.00000, 17330.00000
317.96000, 199.00000, 23148.00000
318.01000, 197.00000, 22854.00000
318.06000, 191.00000, 24100.00000
318.11000, 199.00000, 27584.00000
318.16000, 201.00000, 26644.00000
318.21000, 193.00000, 28466.00000
318.26000, 201.00000, 28814.00000
318.31000, 200.00000, 27208.00000
318.36000, 198.00000, 25428.00000
318.41000, 200.00000, 23328.00000
318.46000, 195.00000, 21938.00000
318.51000, 189.00000, 20778.00000
318.56000, 196.00000, 20734.00000
318.61000, 187.00000, 18064.00000
318.66000, 201.00000, 14616.00000
318.71000, 203.00000, 16258.00000
318.76000, 200.00000, 19284.00000
318.81000, 199.00000, 20930.00000
318.86000, 203.00000, 22530.00000
318.91000, 202.00000, 26146.00000
318.96000, 203.00000, 27640.00000
319.01000, 199.00000, 27654.00000
319.06000, 204.00000, 28570.00000
319.11000, 203.00000, 27890.00000
319.16000, 205.00000, 25212.00000
319.21000, 204.00000, 22632.00000
319.26000, 200.00000, 22270.00000
319.31000, 206.00000, 21632.00000
319.36000, 206.00000, 20762.00000
319.41000, 205.00000, 20174.00000
319.46000, 208.00000, 18106.00000
319.51000, 206.00000, 14078.00000
319.56000, 205.00000, 16694.00000
319.61000, 204.00000, 19350.00000
319.66000, 207.00000, 21968.00000
319.71000, 203.00000, 21024.00000
319.76000, 205.00000, 24140.00000
319.81000, 194.00000, 28250.00000
319.86000, 196.00000, 30192.00000
319.91000, 207.00000, 29626.00000
319.96000, 195.00000, 28772.00000
320.01000, 203.00000, 24550.00000
320.06000, 209.00000, 23382.00000
320.11000, 203.00000, 20564.00000
320.16000, 209.00000, 21486.00000
320.21000, 208.00000, 16536.00000
320.26000, 209.00000, 15454.00000
320.31000, 209.00000, 14370.00000
320.36000, 210.00000, 22328.00000
320.41000, 209.00000, 21126.00000
320.46000, 211.00000, 21406.00000
320.51000, 206.00000, 25330.00000
320.56000, 210.00000, 25970.00000
320.61000, 212.00000, 26916.00000
320.66000, 206.00000, 27932.00000
