t, ir, imu 
361.69000, 230.00000, 21792.00000
361.74000, 227.00000, 21848.00000
361.79000, 229.00000, 21736.00000
361.84000, 217.00000, 21760.00000
361.89000, 227.00000, 21716.00000
361.94000, 230.00000, 21770.00000
361.99000, 229.00000, 21742.00000
362.04000, 228.00000, 21810.00000
362.09000, 228.00000, 21802.00000
362.14000, 229.00000, 21720.00000
362.19000, 224.00000, 21738.00000
362.24000, 228.00000, 21770.00000
362.29000, 223.00000, 21760.00000
362.34000, 228.00000, 21804.00000
362.39000, 228.00000, 21722.00000
362.44000, 225.00000, 21746.00000
362.49000, 227.00000, 21728.00000
362.54000, 226.00000, 21868.00000
362.59000, 227.00000, 21764.00000
362.64000, 227.00000, 21786.00000
362.69000, 224.00000, 21774.00000
362.74000, 227.00000, 21858.00000
362.79000, 224.00000, 21746.00000
362.84000, 212.00000, 21892.00000
362.89000, 227.00000, 21730.00000
362.94000, 229.00000, 21832.00000
362.99000, 227.00000, 21768.00000
363.04000, 211.00000, 21786.00000
363.09000, 207.00000, 21746.00000
363.14000, 219.00000, 21728.00000
363.19000, 224.00000, 21712.00000
363.24000, 227.00000, 21808.00000
363.29000, 225.00000, 21694.00000
363.34000, 228.00000, 21792.00000
363.39000, 226.00000, 21706.00000
363.44000, 226.00000, 21712.00000
363.49000, 226.00000, 21790.00000
363.54000, 220.00000, 21712.00000
363.59000, 226.00000, 21800.00000
363.64000, 225.00000, 21712.00000
363.69000, 225.00000, 21798.00000
363.74000, 226.00000, 21688.00000
363.79000, 226.00000, 21830.00000
363.84000, 226.00000, 21744.00000
363.89000, 225.00000, 21778.00000
363.94000, 225.00000, 21826.00000
363.99000, 225.00000, 21790.00000
364.04000, 215.00000, 21748.00000
364.09000, 226.00000, 21762.00000
364.14000, 215.00000, 21800.00000
364.19000, 226.00000, 21938.00000
364.24000, 213.00000, 21790.00000
364.29000, 226.00000, 21758.00000
364.34000, 211.00000, 21716.00000
364.39000, 226.00000, 21656.00000
364.44000, 225.00000, 21772.00000
364.49000, 222.00000, 21740.00000
364.54000, 225.00000, 21778.00000
364.59000, 225.00000, 21744.00000
364.64000, 224.00000, 21754.00000
364.69000, 224.00000, 21790.00000
364.74000, 226.00000, 21898.00000
364.79000, 225.00000, 21628.00000
364.84000, 210.00000, 21814.00000
364.89000, 224.00000, 21742.00000
364.94000, 210.00000, 21890.00000
364.99000, 224.00000, 21792.00000
365.04000, 225.00000, 21722.00000
365.09000, 224.00000, 21848.00000
365.14000, 226.00000, 21834.00000
365.19000, 223.00000, 21770.00000
365.24000, 223.00000, 21186.00000
365.29000, 223.00000, 21512.00000
365.34000, 221.00000, 22490.00000
365.39000, 224.00000, 21962.00000
365.44000, 224.00000, 21516.00000
365.49000, 223.00000, 22624.00000
365.54000, 222.00000, 22088.00000
365.59000, 224.00000, 21636.00000
365.64000, 222.00000, 22072.00000
365.69000, 224.00000, 21614.00000
365.74000, 225.00000, 21836.00000
365.79000, 224.00000, 21576.00000
365.84000, 220.00000, 22026.00000
365.89000, 224.00000, 21588.00000
365.94000, 224.00000, 21472.00000
365.99000, 225.00000, 21862.00000
366.04000, 207.00000, 21396.00000
366.09000, 223.00000, 21600.00000
366.14000, 216.00000, 22216.00000
366.19000, 207.00000, 21468.00000
366.24000, 222.00000, 22282.00000
366.29000, 222.00000, 22016.00000
366.34000, 222.00000, 21802.00000
366.39000, 222.00000, 22218.00000
366.44000, 221.00000, 21720.00000
366.49000, 222.00000, 21704.00000
366.54000, 222.00000, 21960.00000
366.59000, 224.00000, 21710.00000
366.64000, 221.00000, 21866.00000
366.69000, 223.00000, 21954.00000
366.74000, 221.00000, 21708.00000
366.79000, 224.00000, 22004.00000
366.84000, 204.00000, 21434.00000
366.89000, 223.00000, 21606.00000
366.94000, 223.00000, 21678.00000
366.99000, 223.00000, 21842.00000
367.04000, 223.00000, 21892.00000
367.09000, 222.00000, 21652.00000
367.14000, 224.00000, 21944.00000
367.19000, 223.00000, 21676.00000
367.24000, 222.00000, 21702.00000
367.29000, 220.00000, 21890.00000
367.34000, 224.00000, 21616.00000
367.39000, 201.00000, 21830.00000
367.44000, 223.00000, 21850.00000
367.49000, 223.00000, 21610.00000
367.54000, 223.00000, 21788.00000
367.59000, 220.00000, 21740.00000
367.64000, 222.00000, 21836.00000
367.69000, 222.00000, 21736.00000
367.74000, 222.00000, 24056.00000
367.79000, 220.00000, 22810.00000
367.84000, 222.00000, 22548.00000
367.89000, 201.00000, 22238.00000
367.94000, 222.00000, 21820.00000
367.99000, 222.00000, 22228.00000
368.04000, 219.00000, 22108.00000
368.09000, 221.00000, 21558.00000
368.14000, 224.00000, 21700.00000
368.19000, 223.00000, 21616.00000
368.24000, 220.00000, 21818.00000
368.29000, 214.00000, 22026.00000
368.34000, 223.00000, 21542.00000
368.39000, 224.00000, 21970.00000
368.44000, 220.00000, 21830.00000
368.49000, 221.00000, 21758.00000
368.54000, 219.00000, 21548.00000
368.59000, 223.00000, 21910.00000
368.64000, 223.00000, 22174.00000
368.69000, 223.00000, 21938.00000
368.74000, 217.00000, 21900.00000
368.79000, 222.00000, 21954.00000
368.84000, 203.00000, 21608.00000
368.89000, 218.00000, 22038.00000
368.94000, 216.00000, 21694.00000
368.99000, 223.00000, 21638.00000
369.04000, 222.00000, 21804.00000
369.09000, 220.00000, 21784.00000
369.14000, 223.00000, 21890.00000
369.19000, 220.00000, 21778.00000
369.24000, 218.00000, 21832.00000
369.29000, 213.00000, 21780.00000
369.34000, 214.00000, 21908.00000
369.39000, 221.00000, 21620.00000
369.44000, 205.00000, 21878.00000
369.49000, 221.00000, 21782.00000
369.54000, 220.00000, 18852.00000
369.59000, 222.00000, 19598.00000
369.64000, 223.00000, 22026.00000
369.69000, 206.00000, 21288.00000
369.74000, 221.00000, 21846.00000
369.79000, 222.00000, 21808.00000
369.84000, 221.00000, 21976.00000
369.89000, 221.00000, 20934.00000
369.94000, 221.00000, 21468.00000
369.99000, 218.00000, 21660.00000
370.04000, 221.00000, 21666.00000
370.09000, 216.00000, 21768.00000
370.14000, 223.00000, 21726.00000
370.19000, 216.00000, 21896.00000
370.24000, 219.00000, 21762.00000
370.29000, 223.00000, 21854.00000
370.34000, 222.00000, 21684.00000
370.39000, 222.00000, 24210.00000
370.44000, 222.00000, 21580.00000
370.49000, 219.00000, 22198.00000
370.54000, 222.00000, 21630.00000
370.59000, 222.00000, 21762.00000
370.64000, 212.00000, 22030.00000
370.69000, 220.00000, 20556.00000
370.74000, 222.00000, 21622.00000
370.79000, 215.00000, 21742.00000
370.84000, 219.00000, 21594.00000
370.89000, 206.00000, 21890.00000
370.94000, 221.00000, 21750.00000
370.99000, 216.00000, 21648.00000
371.04000, 218.00000, 21938.00000
371.09000, 221.00000, 21770.00000
371.14000, 223.00000, 21806.00000
